MD,Inc,Azi
0,0.38,203.28
100,0.38,203.28
101,0.38,203.28
102,0.37,203.14
103,0.37,203.09
104,0.37,203.03
105,0.37,202.97
106,0.36,202.91
107,0.36,202.86
108,0.36,202.8
109,0.35,202.74
110,0.35,202.68
111,0.35,202.63
112,0.35,202.57
113,0.34,202.51
114,0.34,202.45
115,0.34,202.4
116,0.33,202.34
117,0.33,202.28
118,0.33,202.22
119,0.32,202.17
120,0.32,202.11
121,0.32,202.05
122,0.32,201.99
123,0.31,201.94
124,0.31,201.88
125,0.31,201.82
126,0.3,201.76
127,0.3,201.7
128,0.3,201.65
129,0.3,201.59
130,0.29,201.53
131,0.29,201.47
132,0.29,201.42
133,0.28,201.36
134,0.28,201.3
135,0.28,201.24
136,0.28,201.19
137,0.27,201.13
138,0.27,201.07
139,0.27,201.01
140,0.26,200.96
141,0.26,200.9
142,0.26,200.84
143,0.25,200.78
144,0.25,200.73
145,0.25,200.67
146,0.25,200.61
147,0.24,200.55
148,0.24,200.49
149,0.24,200.44
150,0.23,200.38
151,0.23,200.32
152,0.23,200.26
153,0.23,200.21
154,0.22,200.15
155,0.22,200.09
156,0.22,200.03
157,0.21,199.98
158,0.21,199.92
159,0.21,199.86
160,0.21,199.8
161,0.2,199.75
162,0.2,199.69
163,0.2,199.63
164,0.19,199.57
165,0.19,199.52
166,0.19,199.46
167,0.18,199.4
168,0.18,199.34
169,0.18,199.29
170,0.18,199.23
171,0.17,199.17
172,0.17,199.11
173,0.17,199.05
174,0.16,199
175,0.16,198.94
176,0.16,198.88
177,0.16,198.82
178,0.15,198.77
179,0.15,198.71
180,0.15,198.65
181,0.14,198.59
182,0.14,198.54
183,0.14,198.48
184,0.14,198.42
185,0.13,198.36
186,0.13,198.31
187,0.13,198.25
188,0.12,198.19
189,0.12,198.13
190,0.12,198.08
191,0.11,198.02
192,0.11,197.96
193,0.11,197.94
194,0.11,197.94
195,0.11,197.93
196,0.11,197.93
197,0.11,197.93
198,0.11,197.92
199,0.11,197.92
200,0.19,187.4
201,0.19,187.07
202,0.19,186.46
203,0.19,184.61
204,0.19,186.33
205,0.19,194.9
206,0.19,195.57
207,0.19,195.87
208,0.19,195.16
209,0.19,194.43
210,0.19,193.89
211,0.19,193.84
212,0.19,193.72
213,0.19,193.91
214,0.19,194.57
215,0.2,195.03
216,0.2,195.1
217,0.19,195.26
218,0.19,195.59
219,0.19,197.04
220,0.19,198.93
221,0.19,200.21
222,0.19,202.01
223,0.18,204.06
224,0.18,205.3
225,0.18,205.92
226,0.18,207.39
227,0.18,208.94
228,0.18,210.69
229,0.18,212.64
230,0.18,212.74
231,0.19,212.81
232,0.18,213.4
233,0.18,212.7
234,0.19,212.13
235,0.19,212.37
236,0.19,212.71
237,0.2,212.14
238,0.2,212.19
239,0.2,211.9
240,0.2,211.02
241,0.2,211.19
242,0.2,210.57
243,0.2,209.49
244,0.2,209.19
245,0.2,208.8
246,0.19,207.97
247,0.19,207
248,0.19,206.61
249,0.18,205.5
250,0.18,203.74
251,0.17,203.04
252,0.16,202.58
253,0.16,202.67
254,0.15,203.47
255,0.14,204.65
256,0.13,203.91
257,0.13,203.3
258,0.12,203.58
259,0.11,205.25
260,0.09,207
261,0.09,209.72
262,0.08,214.72
263,0.07,221.64
264,0.06,231.84
265,0.06,242.98
266,0.05,253.79
267,0.05,266.07
268,0.05,278.56
269,0.05,291.06
270,0.05,302.49
271,0.05,314.6
272,0.05,325.87
273,0.06,332.7
274,0.06,337.54
275,0.06,339.39
276,0.06,339.26
277,0.06,338.86
278,0.06,338.6
279,0.06,337.88
280,0.06,335.76
281,0.06,334.19
282,0.06,332.28
283,0.06,331.34
284,0.06,326.83
285,0.06,319.36
286,0.06,332.32
287,0.06,332.32
288,0.06,348.13
289,0.06,25.45
290,0.06,15.94
291,0.06,355.13
292,0.06,350.99
293,0.06,340.43
294,0.06,7.27
295,0.06,23.02
296,0.06,19.74
297,0.06,44.12
298,0.06,63.84
299,0.06,356.64
300,0.06,343.2
301,0.06,13.73
302,0.06,25.45
303,0.06,25.45
304,0.06,15.54
305,0.07,349.17
306,0.07,356.33
