MD,Inc,Azi
0,0,203.28
100,0.38,203.28
200,0.19,187.4
300,0.06,343.2
400,0.34,9.36
500,0.28,48.22
600,0.62,104.73
700,1.54,123.02
800,2.58,126.95
900,4.22,139.79
950,5.29,142.27
1000,6.59,143.83
1050,8,144.45
1100,9.63,146.66
1150,11.2,147.69
1200,12.42,149.12
1250,13.27,149.44
1300,14.51,149.76
1350,15.69,150.23
1400,16.92,150.63
1450,18.22,150.99
1500,19.45,151.34
1600,21.42,151.81
1700,21.84,151.77
1800,22.18,151.94
1900,22.17,151.92
2000,21.65,152.23
2100,20.83,152.59
2200,20.23,153.01
2300,19.85,153.67
2400,19.1,154.08
2500,18.85,154.22
2600,18.55,154.04
2700,18.54,154.4
2800,18.37,154.92
2900,18.41,155.88
3000,17.88,156.82
3100,18.27,158.07
3200,18.86,159.09
3300,19.4,159.92
3400,20.48,160.5
3500,21.65,160.96
3600,22.56,160.91
3700,23.14,160.64
3800,24.18,161.39
3900,25.69,163.42
4000,26.73,163.78
4100,28,163.99
4200,28.31,163.6
4300,28.48,163.16
4400,28.44,162.79
4500,28.56,162.67
4600,29.44,162.58
4700,30.32,162.88
4800,30.91,163.08
4900,31.5,163.36
5000,30.97,164.02
5100,31.12,163.72
5200,31,163.88
5300,30.06,163.33
5400,29.42,162.99
5500,28.27,162.96
5600,27.57,163.67
5700,27.6,164.34
5800,27.44,164.88
5900,27.49,165.34
6000,27.05,166.33
6100,26.59,167.6
6200,26.15,168.85
6300,25.7,170.53
6400,24.96,171.98
6500,25.1,173.23
6600,25.09,174.14
6700,25.59,173.89
6800,26.25,173.84
6900,26.44,174.38
7000,26.23,176.06
7100,26.32,176.86
7200,26.37,177.97
7300,26.54,178.37
7400,26.25,177.96
7500,25.65,177.18
7600,25.28,176.42
7700,24.72,175.77
7800,24.36,175.1
7900,23.37,174.17
8000,22.95,175.46
8100,21.97,177.32
8200,21.07,180.07
8294,20.6,182.5
