Operator Name:,Pioneer,
Operator Number:
Well Name:,10-12
Well Number:,1012
API Number:
Location:
Citing Type:,Actual
Deviation Indicator:,Directional
North Reference:,TRUE
Grid Type:
Units:,PetroImperial
Optional:,MultiWell

Site Location:
Site Northing:,0
Site Easting:,0
Tie Point:,0

Wellhead:
RKB:,0
Wellhead Northing:,1064
Wellhead Easting:,-1028
Ground Level:,4909

MD,Inc,Azi
0,0.0,3.4
20,0.0,3.4
153,0.3,3.4
184,0.4,331.8
215,0.6,316.7
246,1.0,314.9
279,1.6,307.5
310,1.9,305.4
341,2.5,298.4
372,3.0,301.9
403,3.5,298.7
434,4.1,297.7
465,4.9,295.6
496,5.5,295.6
527,6.2,294.2
558,6.7,295.6
589,7.2,295.9
620,7.4,295.6
651,7.7,295.9
681,8.0,297.0
712,8.3,298.0
743,8.3,299.8
774,8.2,300.5
805,7.9,300.8
844,7.9,302.9
932,8.4,305.1
976,9.3,307.2
1019,10.5,309.6
1065,11.2,309.3
1110,12.0,310.0
1155,13.0,308.9
1201,14.4,311.0
1246,15.3,312.8
1291,16.2,313.5
1337,17.1,313.8
1382,18.5,314.9
1427,19.5,315.6
1473,20.2,316.3
1518,20.9,316.3
1607,21.3,316.3
1698,22.2,315.6
1787,21.5,314.2
1877,21.2,314.2
1967,20.7,314.2
2058,21.5,315.2
2149,20.2,313.8
2238,18.7,312.1
2328,18.3,312.4
2419,18.0,312.8
2509,19.2,314.9
2598,17.8,314.2
2687,17.9,313.1
2778,17.7,317.0
2869,18.1,318.4
2960,18.5,317.4
3049,19.4,317.0
3139,19.1,317.7
3230,19.3,317.0
3319,20.0,317.4
3410,18.0,312.1
3500,19.1,312.1
3589,17.6,315.2
3680,17.0,317.7
3770,17.4,314.5
3861,16.1,312.1
3952,17.6,311.1
4042,17.8,312.1
4133,17.1,312.8
4224,16.9,312.8
4267,16.4,313.1
4313,15.5,313.1
4358,14.7,312.8
4403,14.5,314.2
4448,13.8,314.2
4494,13.9,313.8
4539,13.2,314.2
4584,12.5,314.2
4630,12.0,312.8
4675,11.6,312.8
4720,11.4,312.8
4764,11.0,313.1
4809,11.1,313.8
4854,11.1,313.5
4898,11.1,313.1
4943,10.6,314.2
4989,9.8,316.7
5034,9.1,317.7
5079,8.6,319.1
5123,8.4,319.5
5167,7.8,324.4
5212,7.1,331.8
5257,6.9,332.4
5303,6.9,331.4
5348,6.2,325.8
5393,5.5,323.7
5438,4.7,336.0
5484,3.6,342.0
5529,2.6,320.5
5573,1.8,311.4
5618,1.2,282.2
5663,1.1,287.1
5752,1.0,282.9
5842,1.1,268.8
5932,1.5,274.5
6022,1.2,253.4
6113,1.1,247.7
6203,1.0,255.1
6293,1.1,241.1
6383,0.4,225.6
6472,0.8,193.6
6560,0.9,183.4
6650,1.2,173.2
6740,1.4,168.6
6830,1.3,184.8
6918,1.6,188.0
7008,2.1,196.1
7099,2.9,212.9
7189,1.7,230.5
7279,1.1,198.9
7370,0.8,192.2
7460,0.6,240.7
7550,0.8,278.0
7637,0.7,271.3
7726,0.5,299.8
7817,0.4,320.5
7912,0.3,74.4
7958,0.3,74.4
