Operator Name:,Pioneer
Operator Number:
Well Name:,23-12
Well Number:,2312
API Number:
Location:
Citing Type:,Actual
Deviation Indicator:,Directional
North Reference:,TRUE
Grid Type:
Units:,PetroImperial
Optional:,MultiWell

Site Location:
Site Northing:,0
Site Easting:,0
Tie Point:,0

Wellhead:
RKB:,0
Wellhead Northing:,1049
Wellhead Easting:,-1034
Ground Level:,4908

MD,Inc,Azi
0,0,32.2
20,0.0001,32.2
153,0.4,32.2
246,0.6,31.2
341,1.1,331.8
434,1.3,327.6
527,1.3,308.7
620,1.5,288.9
713,1.4,270.9
806,1.2,271.3
845,1.1,270.2
932,1.4,265.7
976,1.4,266.7
1019,2.7,286.4
1065,3.5,286.7
1110,4.7,287.5
1155,5.5,288.2
1201,6.4,287.5
1246,7,282.9
1291,8.2,282.2
1337,9.1,283.6
1382,10.2,282.9
1427,11.3,284
1473,12.7,283.3
1518,13.5,282.9
1562,14.2,279.7
1607,15,279.7
1653,16.3,280.1
1698,16.6,278.7
1743,16.8,276.2
1787,17.4,275.5
1832,17.8,274.1
1877,18.3,274.5
1922,18.6,275.5
1967,19.8,277.3
2013,21.3,279.7
2058,21.2,279.4
2149,21.1,280.8
2238,20.7,279.7
2328,20.7,279
2419,20.2,278.3
2509,21.2,280.8
2598,20.7,280.1
2687,20,279
2778,19.8,277.6
2869,19.6,276.2
2960,20.3,279.4
3049,21.7,281.5
3139,21.7,279
3230,22,279
3319,21.6,279
3410,20,276.9
3500,19.7,278.7
3589,19,283.6
3680,17.3,281.1
3770,18.8,280.8
3861,17.8,281.8
3952,16.7,280.1
4042,17.8,283.6
4133,16.4,281.5
4224,18.4,279
4313,20.7,279.4
4403,19.5,276.5
4494,21.1,274.5
4584,21.2,279
4675,22.5,279.7
4764,22.1,280.8
4854,22.4,281.5
4943,19.4,282.9
4989,18.6,282.9
5034,18.9,282.9
5079,18.4,281.8
5123,17.3,281.1
5167,16.1,281.5
5212,15,280.1
5257,14.9,280.1
5303,15.8,283.3
5348,16,283.6
5393,15.5,282.2
5438,14.9,281.8
5484,13.5,281.8
5529,12.3,282.2
5573,11.7,281.8
5618,10.6,283.3
5663,9.4,284
5706,8.6,285
5752,8,285.4
5797,7,283.6
5842,5.9,286.3
5888,5.5,283.6
5932,4.5,286.4
5977,3.5,290.6
6022,3.7,301.9
6068,2.6,305.4
6113,1.4,311.4
6158,1,307.2
6203,1.1,307.2
6293,1,302.6
6383,0.9,304
6472,0.8,303.3
6560,0.9,294.6
6650,1,290.6
6740,1.1,289.6
6830,0.9,237.6
6921,1.5,244.9
7011,0.6,291.7
7102,1.5,304.3
7192,2,304.3
7283,2.5,278
7372,3.3,265.7
7489,2.3,269.9
7535,2.3001,269.9
