Operator Name:,Pioneer
Operator Number:,
Well Name:,9-12
Well Number:,912
API Number:,
Location:,
Citing Type:,Actual
Deviation Indicator:,Directional
North Reference:,True
Grid Type:
Units:,PetroImperial
Optional:,MultiWell

Site Location:
Site Northing:,1094
Site Easting:,-1018
Tie Point:,0

Wellhead:
RKB:,0
Wellhead Northing:,1094
Wellhead Easting:,-1018
Ground Level:,4908
Target Azimuth:,270

MD,Inc,Azi
0,0.00,339.5
20,0.00,339.5
154,0.30,339.5
185,0.40,356.7
216,0.70,359.5
247,1.10,17.5
280,1.60,14.3
311,2.10,19.2
342,2.60,18.9
372,3.00,21.0
403,3.60,19.9
434,4.00,19.9
465,4.40,21.3
496,5.00,20.3
527,5.40,21.3
558,5.70,21.3
589,6.30,21.7
620,6.80,21.3
651,7.20,20.6
682,7.40,22.0
713,8.00,23.4
744,8.20,23.4
775,8.30,23.8
806,8.50,23.8
851,8.30,21.0
870,8.20,21.3
932,8.50,22.0
1020,9.10,24.2
1065,9.60,23.4
1110,10.10,23.1
1156,10.80,24.5
1201,11.40,26.3
1246,11.90,25.6
1292,12.70,25.6
1337,13.40,25.2
1428,14.20,24.9
1518,14.60,23.8
1608,14.30,21.7
1697,14.60,23.8
1787,14.10,22.0
1876,13.30,21.0
1967,12.80,23.1
2057,13.20,21.7
2147,12.80,20.3
2238,12.60,19.9
2327,11.70,21.3
2418,12.00,23.1
2508,11.60,22.0
2599,12.00,23.4
2688,12.40,23.4
2777,12.30,18.9
2868,14.20,22.7
2959,14.60,22.4
3049,14.90,22.0
3138,14.20,21.0
3229,13.10,21.0
3319,12.50,21.3
3408,12.70,23.1
3499,11.30,21.0
3590,10.60,19.9
3679,10.60,17.8
3769,11.90,19.6
3860,11.40,21.3
3951,12.10,19.2
4041,13.20,20.6
4132,14.20,20.6
4222,14.80,20.3
4313,14.40,22.4
4402,13.60,24.2
4493,13.60,22.0
4538,12.80,22.4
4583,12.80,23.4
4628,12.40,23.8
4674,12.10,22.0
4719,11.90,23.1
4764,11.10,22.0
4810,10.00,22.4
4853,9.10,25.6
4899,8.20,28.7
4944,7.20,30.5
4988,6.20,32.6
5033,5.30,36.1
5078,4.00,42.4
5123,3.10,47.0
5169,2.50,36.8
5212,1.90,29.1
5256,1.10,8.3
5347,0.40,345.5
5438,0.40,31.5
5528,0.50,70.9
5619,0.70,85.0
5707,0.70,115.2
5796,1.10,255.8
5887,1.70,273.8
5978,2.00,244.6
6066,2.00,239.3
6157,1.80,234.4
6248,1.50,225.2
6337,1.40,223.1
6427,1.10,235.1
6516,0.70,247.4
6606,0.60,261.5
6694,0.40,279.7
6784,0.70,278.3
6874,1.30,251.3
6964,1.70,245.3
7052,0.70,294.5
7143,0.60,358.1
7233,0.70,40.3
7324,0.80,55.4
7414,0.90,70.9
7505,0.70,88.5
7595,1.00,83.9
7683,1.10,106.8
7772,0.90,105.4
7804,0.80,104.3
7850,0.80,104.3
