MD,Inc,Azi,TVD,NS,EW,Section,DLS,Build,Turn,Rugosity,Target 
0,0.0,203.28,0.0,0.0,0.0,-0.0,0.5304090621895841,-0.27290194124561634,0.009257321314214103,0.10229776502224343,185
100,0.38,203.28,99.99834876302612,-0.4201719829944637,-0.21224070538111367,0.4370710980645577,0.04689881907665471,0.04689644508107918,0.0008185303767010746,3.550274566169837,185
200,0.19,187.4,199.9968842824083,-0.921915038127518,-0.3637315800099249,0.950108169090227,0.13630859773854778,0.043253406621780954,0.0023790132462780077,0.6133402237571889,185
300,0.06,343.2,299.99681953403905,-1.0494111810259732,-0.391380296076909,1.0795288950576527,0.1814439409381425,0.008429278132224133,0.0031667876312566814,-0.28162752444220973,185
400,0.34,9.36,399.99589017588573,-0.6722618992764581,-0.37138538007574556,0.7020721084344175,0.07586438079398587,0.06013959352510322,0.0013240739633203476,-2.4801508136678696,185
500,0.28,48.22,499.99424370861806,-0.1683406077976769,-0.16112065979451326,0.18174261173797118,0.2008507519351743,0.1397174926640659,0.003505500578624744,0.36446817873544674,185
600,0.62,104.73000000000002,599.9921559067108,-0.09934785584628919,0.4994484265957707,0.055440008676752736,0.44782593758302064,0.3165999188352073,0.007815494419911138,-0.15343121059332768,185
700,1.54,123.02000000000001,699.9732994050916,-0.9602066477661679,2.114472180522582,0.772264378164399,0.5747943263196881,0.45423113104857304,0.010029216054235094,0.2820962752029356,185
800,2.58,126.95000000000002,799.9097446448984,-2.9648193103782905,5.059040201633351,2.512612871435261,0.7698214798899939,0.3786524061989127,0.013422726543324858,-0.48815813990678286,185
900,4.22,139.79000000000002,899.7354940550886,-7.027765133393573,9.20464490870413,6.198784701574149,1.1732539324303044,0.49056983808219656,0.020427876042440996,0.22975529781753207,185
950,5.29,142.27,949.5641609995408,-10.246563149236763,11.791887033189063,9.179841210157853,1.3816612381133984,0.6623279412471286,0.02401174459520238,-0.0570073118983269,185
1000,6.59,143.83,999.2956029828571,-14.380121993405018,14.884137058977421,13.028163267209454,1.5541502645988643,0.8437978464304738,0.02694992781868159,0.22564955784941193,185
1050,8.0,144.45,1048.89150174162,-19.51000637576574,18.603907139695288,17.81432756650538,1.766512596512179,0.7878223356431943,0.030532817229624035,-0.4168028038656851,185
1100,9.63,146.66,1098.3004529926461,-25.823501149215904,22.92627311571178,23.72707856917946,1.928358261769418,0.7733658287088625,0.033199095004031405,0.2682915656176298,185
1150,11.2,147.69,1147.472388284099,-33.435327432543154,27.82937946016435,30.88260568020395,1.6745188028232916,0.6295185894767323,0.028680010633771253,-0.36964833657474666,185
1200,12.42,149.12,1196.4052763884893,-42.185544594743334,33.202754061748045,39.13120516987672,1.101179241663066,0.34168645597505537,0.01879975581654576,0.3442396605379652,185
1250,13.27,149.44,1245.1553432629623,-51.743421448830794,38.8673488022954,48.15900945495559,1.1639903057766114,0.5425095936905985,0.019758666809309405,-0.09621963875424461,185
1300,14.510000000000002,149.76,1293.6961887678162,-62.07798594825886,44.93596817060504,57.92533278787517,1.4596775469126158,0.5996237522986947,0.024682409896179692,-0.07813338097881807,185
1350,15.690000000000001,150.23,1341.9673715466179,-73.36381014471357,51.452501057168035,68.60025775211092,1.3464244872289213,0.5192369248180337,0.022628062569572595,0.032019165362374584,185
1400,16.920000000000005,150.63,1389.9578323829292,-85.56666156089192,58.37369083183057,80.15345219900095,1.4793631491761876,0.584375968301013,0.02470908742915811,0.0005102933684517115,185
1450,18.22,150.99,1437.6239065886764,-98.7442092786551,65.73435042616262,92.63933161523092,1.4668117463328816,0.561936102489776,0.024332216676487457,-0.023464439032220286,185
1500,19.45,151.34,1484.9441065710084,-112.88954360486493,73.52104051913713,106.0521839151373,1.3842352392268789,0.5094260127636152,0.022780576993758607,-0.003901654576310789,185
1600,21.42,151.81,1578.5797101150645,-143.75885236137498,90.195128934859,135.35078307161734,0.6515834084829187,0.2614980636621333,0.010609007198647989,0.10834686117111565,185
1700,21.84,151.77000000000004,1671.4902134695783,-176.35340957203914,107.67413194759956,166.2979126614651,0.12671088500040895,0.04644785098717638,0.0020422571191551693,-0.5393397310532776,185
1800,22.18,151.94,1764.203518615228,-209.39301407900174,125.35044241977978,197.6711995301083,0.15096462741112987,0.05129004336992746,0.0024470281423402637,0.37711030656765604,185
1900,22.17,151.92,1856.7776199679492,-242.7606350236842,143.14624372828862,229.36084032230318,0.16084915839010458,-0.0886299531650627,0.002604868076734021,0.36633080545111396,185
2000,21.65,152.23,1949.529386409109,-275.7778902390854,160.6648812864587,260.72560504511864,0.4316873277767535,-0.2568404152455685,0.0070247306646141336,-0.09120390892249919,185
