MD,Inc,Azi,TVD,NS,EW,Section,DLS,Build,Turn,Rugosity,Target 
0,0.0,203.28,0,0,0,-0.0,0,0,0,nan,185
100,0.38,203.28,99.99926688902207,-0.3046130048740774,-0.1310610530483471,0.3148765838490699,0.38000000000017065,0.38,0.0,nan,185
200,0.19,187.4,199.99799793378483,-0.7736503926144833,-0.2834768661505349,0.795413056120274,0.20398704564088438,-0.19,-15.880000000000004,nan,185
300,0.06,343.2,299.9978491697181,-0.8879504496393889,-0.319965668391905,0.912458375581388,0.2459600301499243,-0.13,155.79999999999998,nan,185
400,0.34,9.36,399.9971510367529,-0.5450707135657231,-0.2868441305833321,0.5679966681930544,0.28736611399587214,0.28,-333.84,nan,185
500,0.28,48.22,499.99578975120875,-0.0895159250752483,-0.05637846412610456,0.09408899687062312,0.21386609558407593,-0.06,38.86,nan,185
600,0.62,104.73000000000002,599.9929538145304,-0.06428296503547135,0.6490967028507951,0.007465843693936712,0.5207839138463778,0.34,56.51000000000001,nan,185
700,1.54,123.02000000000001,699.9743597949579,-0.9341188921212501,2.2990973360040163,0.7301847517499324,0.9710115184786333,0.92,18.289999999999996,nan,185
800,2.58,126.95000000000002,799.9084085014974,-3.01936899716676,5.224561569944036,2.5525288424007733,1.0489414653676448,1.04,3.9300000000000095,nan,185
900,4.22,139.79000000000002,899.7303619644416,-7.182487512048181,9.39891892114956,6.3359862190147656,1.798195404648056,1.6399999999999997,12.839999999999991,nan,185
950,5.29,142.27,949.5576042839491,-10.41046963439129,11.997139416430743,9.325235057739484,2.178644415204344,2.1400000000000006,4.959999999999996,nan,185
1000,6.59,143.83,999.2881106506732,-14.549750740550738,15.101041066883125,13.178242095846006,2.6197329620553207,2.5999999999999988,3.12000000000001,nan,185
1050,8.0,144.45,1048.882143280832,-19.696953748232907,18.817446970691762,17.98195232520265,2.8243514010540305,2.820000000000001,1.2399999999999738,nan,185
1100,9.63,146.66,1098.2900345228888,-26.022055715745044,23.139199467443444,23.906319821301967,3.3290305428921156,3.2600000000000007,4.4199999999999795,nan,185
1150,11.2,147.69,1147.464747939588,-33.62040380808989,28.033487511177448,31.049188595478807,3.1618821611019623,3.139999999999999,2.0600000000000245,nan,185
1200,12.42,149.12,1196.4055136374052,-42.33946917098397,33.38880967446561,39.26832820151491,2.509046272279598,2.440000000000001,2.8600000000000256,nan,185
1250,13.27,149.44,1245.1538253453941,-51.895753015033165,39.06625390163785,48.293425631888894,1.7059373034700256,1.6999999999999995,0.6399999999999602,nan,185
1300,14.510000000000002,149.76,1293.6908050752581,-62.24894630286631,45.13873577523063,58.07797022553266,2.484745119125173,2.4800000000000018,0.6400000000000111,nan,185
1350,15.690000000000001,150.23,1341.963601832404,-73.52928370454435,51.650399791672335,68.74785362389417,2.3726511797411596,2.3599999999999994,0.9399999999999923,nan,185
1400,16.920000000000005,150.63,1389.9517354554885,-85.73905028801143,58.57599160886471,80.30755326048734,2.4702176572797905,2.460000000000006,0.8000000000000012,nan,185
1450,18.22,150.99,1437.6181701419277,-98.91630265610209,65.93554505837896,92.79323485781264,2.6090567043242174,2.5999999999999908,0.720000000000057,nan,185
1500,19.45,151.34,1484.9398878954012,-113.05747868705377,73.71920420915596,106.20220885004822,2.4703479789592167,2.4599999999999995,0.6999999999999563,nan,185
1600,21.42,151.81,1578.64222448416,-143.76407473211395,90.33200463488045,135.34405606635949,1.9768075304315418,1.9700000000000046,0.46999999999999614,nan,185
1700,21.84,151.77000000000004,1671.6003777572737,-176.2467472839731,107.75649573446202,166.18447777858788,0.4202587052614015,0.41999999999999615,-0.039999999999972065,nan,185
1800,22.18,151.94,1764.3120972051452,-209.29231272531007,125.43408908272268,197.56359108843284,0.3459173473812458,0.34000000000000113,0.16999999999996399,nan,185
1900,22.17,151.92,1856.9156333028488,-242.59632765596783,143.1943720717385,229.1929635322062,0.012529301684370688,-0.009999999999999377,-0.019999999999998755,nan,185
2000,21.65,152.23,1949.6924605118124,-275.5656391143249,160.67043565784158,260.51367750460486,0.5327093099323561,-0.5200000000000027,0.31000000000000616,nan,185
2100,20.83,152.59,2042.8988165267563,-307.67215159865947,177.4505444850536,291.0355321674931,0.8303029842316747,-0.8199999999999998,0.36000000000000304,nan,185
2200,20.23,153.01,2136.54730945643,-338.86262943754787,193.48229339741584,320.71006183754093,0.6178112350634333,-0.5999999999999976,0.41999999999999926,nan,185
2300,19.85,153.67,2230.4926209188375,-369.48574310915143,208.85934527325338,349.8764469387454,0.4422061105496848,-0.37999999999999867,0.6599999999999844,nan,185
2400,19.1,154.08,2324.7706977292373,-399.41781443087893,223.54157294502951,378.4149772344304,0.7623503194409735,-0.7500000000000011,0.41000000000002534,nan,185
2500,18.85,154.22,2419.3366818360832,-428.67966582844673,237.71910133333083,406.3298254360276,0.2541104970545678,-0.25000000000000033,0.1399999999999913,nan,185
2600,18.55,154.04,2514.0576094170124,-457.52808940652085,251.70804852751027,433.8492549698435,0.30550003902031353,-0.30000000000000043,-0.18000000000001426,nan,185
2700,18.54,154.4,2608.8650560724204,-486.1673582807573,265.540509761057,461.17396434674384,0.11493346070803594,-0.010000000000002557,0.3600000000000285,nan,185
